"lon","lat"
-123.75,51
-123.125,51
-122.5,51
-121.875,51
-121.25,51
-120.625,51
-120,51
-119.375,51
-118.75,51
-118.125,51
-117.5,51
-116.875,51
-116.25,51
-115.625,51
-115,51
-114.375,51
-113.75,51
-113.125,51
-112.5,51
-111.875,51
-111.25,51
-110.625,51
-110,51
-109.375,51
-108.75,51
-108.125,51
-107.5,51
-106.875,51
-128.75,51.5
-128.125,51.5
-127.5,51.5
-126.875,51.5
-126.25,51.5
-125.625,51.5
-125,51.5
-124.375,51.5
-123.75,51.5
-123.125,51.5
-122.5,51.5
-121.875,51.5
-121.25,51.5
-120.625,51.5
-120,51.5
-119.375,51.5
-118.75,51.5
-118.125,51.5
-117.5,51.5
-116.875,51.5
-116.25,51.5
-115.625,51.5
-115,51.5
-114.375,51.5
-113.75,51.5
-113.125,51.5
-112.5,51.5
-111.875,51.5
-111.25,51.5
-110.625,51.5
-110,51.5
-109.375,51.5
-108.75,51.5
-108.125,51.5
-107.5,51.5
-106.875,51.5
-128.75,52
-128.125,52
-127.5,52
-126.875,52
-126.25,52
-125.625,52
-125,52
-124.375,52
-123.75,52
-123.125,52
-122.5,52
-121.875,52
-121.25,52
-120.625,52
-120,52
-119.375,52
-118.75,52
-118.125,52
-117.5,52
-116.875,52
-116.25,52
-115.625,52
-115,52
-114.375,52
-113.75,52
-113.125,52
-112.5,52
-111.875,52
-111.25,52
-110.625,52
-110,52
-109.375,52
-108.75,52
-108.125,52
-107.5,52
-106.875,52
